File: Users\Mutlugun\Desktop\Emre\220517\x.IRR;
RAD->Wave:648.50nm  Pix:1050  Val:  0.000  Time:25ms  Avg:1  Sm:1  Sg:0  Tc:off  SNAP  Xt:3  Ch:1  Wr:400-700 Xtrig wnmcal;
694.5;1.15E-05
695;1.14E-05
695.5;1.05E-05
696;1.07E-05
696.5;1.13E-05
697;9.09E-06
697.5;6.42E-06
698;8.75E-07
698.5;0.00E+00
699;0.00E+00
699.5;0.00E+00
700;1.88E-07
700.5;1.33E-06
701;3.14E-06
701.5;6.20E-06
702;7.09E-06
702.5;2.61E-06
703;0.00E+00
703.5;0.00E+00
704;0.00E+00
704.5;0.00E+00
705;3.42E-06
705.5;1.10E-05
706;1.26E-05
706.5;1.18E-05
707;8.39E-06
707.5;2.57E-06
708;8.67E-08
708.5;0.00E+00
709;1.84E-06
709.5;5.42E-06
710;8.60E-06
710.5;9.43E-06
711;1.12E-05
711.5;1.19E-05
712;1.16E-05
712.5;8.78E-06
713;4.94E-06
713.5;1.91E-06
714;2.38E-07
714.5;5.47E-07
715;7.07E-06
715.5;9.98E-06
716;9.29E-06
716.5;1.32E-05
717;1.22E-05
717.5;9.16E-06
718;1.40E-05
718.5;1.47E-05
719;1.24E-05
719.5;1.16E-05
720;7.03E-06
720.5;3.63E-06
721;6.43E-06
721.5;4.74E-06
722;7.34E-06
722.5;1.16E-05
723;7.10E-06
723.5;5.79E-06
724;5.58E-06
724.5;1.81E-06
725;7.64E-07
725.5;7.01E-07
726;1.94E-06
726.5;2.18E-06
727;1.06E-07
727.5;5.14E-07
728;3.74E-07
728.5;0.00E+00
729;0.00E+00
729.5;3.17E-06
730;0.00E+00
730.5;0.00E+00
731;0.00E+00
731.5;0.00E+00
732;0.00E+00
732.5;0.00E+00
733;0.00E+00
733.5;3.48E-07
734;2.41E-06
734.5;2.48E-06
735;1.48E-06
735.5;3.07E-07
736;0.00E+00
736.5;0.00E+00
737;6.95E-07
737.5;6.65E-06
738;1.51E-05
738.5;1.80E-05
739;1.45E-05
739.5;8.12E-06
740;6.25E-06
740.5;9.13E-06
741;1.01E-05
741.5;1.05E-05
742;1.05E-05
742.5;1.17E-05
743;1.12E-05
743.5;9.84E-06
744;9.40E-06
744.5;8.12E-06
745;3.27E-06
745.5;8.77E-07
746;1.25E-07
746.5;0.00E+00
747;6.99E-08
747.5;9.60E-07
748;7.52E-07
748.5;3.91E-07
749;0.00E+00
749.5;0.00E+00
750;0.00E+00
750.5;0.00E+00
751;0.00E+00
751.5;3.85E-07
752;1.60E-06
752.5;3.45E-06
753;4.57E-06
753.5;3.10E-06
754;1.20E-06
754.5;8.92E-07
755;0.00E+00
755.5;0.00E+00
756;0.00E+00
756.5;0.00E+00
757;0.00E+00
757.5;0.00E+00
758;2.93E-06
758.5;4.53E-06
759;2.22E-06
759.5;1.45E-06
760;1.58E-06
760.5;2.77E-06
761;7.99E-06
761.5;7.03E-06
762;3.09E-06
762.5;1.27E-06
763;2.13E-06
763.5;2.41E-06
764;3.79E-06
764.5;6.50E-06
765;2.89E-06
765.5;0.00E+00
766;0.00E+00
766.5;0.00E+00
767;0.00E+00
767.5;1.60E-06
768;4.22E-06
768.5;5.12E-06
769;8.79E-06
769.5;1.18E-05
770;1.16E-05
770.5;1.02E-05
771;6.87E-06
771.5;2.17E-06
772;2.13E-06
772.5;3.63E-06
773;2.60E-06
773.5;1.63E-06
774;9.38E-07
774.5;1.27E-06
775;4.07E-06
775.5;6.97E-06
776;8.79E-06
776.5;6.03E-06
777;3.20E-06
777.5;1.32E-06
778;1.13E-07
778.5;0.00E+00
779;0.00E+00
779.5;0.00E+00
780;0.00E+00
780.5;2.46E-06
781;4.50E-06
781.5;7.74E-06
782;8.79E-06
782.5;7.76E-06
783;9.24E-06
783.5;9.04E-06
784;6.73E-06
784.5;5.88E-06
785;6.52E-06
785.5;6.32E-06
786;7.90E-06
786.5;1.04E-05
787;1.23E-05
787.5;1.07E-05
788;7.94E-06
788.5;6.41E-06
789;2.60E-06
789.5;7.02E-07
790;6.34E-07
790.5;1.25E-06
791;2.53E-06
791.5;3.94E-06
792;3.87E-06
792.5;2.69E-06
793;2.62E-06
793.5;1.25E-06
794;1.24E-07
794.5;0.00E+00
795;0.00E+00
795.5;0.00E+00
796;0.00E+00
796.5;0.00E+00
797;0.00E+00
797.5;0.00E+00
798;0.00E+00
798.5;0.00E+00
799;1.38E-06
799.5;4.36E-06
800;5.59E-06
800.5;6.72E-06
801;6.80E-06
801.5;6.38E-06
802;4.91E-06
802.5;2.78E-06
803;8.95E-07
803.5;2.63E-07
804;2.37E-08
804.5;0.00E+00
805;5.22E-07
805.5;2.21E-06
806;3.03E-06
806.5;3.74E-06
807;5.03E-06
807.5;5.28E-06
808;4.49E-06
808.5;3.96E-06
809;2.50E-06
809.5;1.02E-06
810;3.74E-07
810.5;0.00E+00
811;4.38E-07
811.5;1.11E-06
812;1.52E-06
812.5;1.99E-06
813;2.76E-06
813.5;1.21E-06
814;0.00E+00
814.5;0.00E+00
815;0.00E+00
815.5;0.00E+00
816;3.62E-07
816.5;1.08E-06
817;1.78E-06
817.5;1.66E-06
818;1.42E-06
818.5;1.17E-06
819;1.37E-06
819.5;1.12E-06
820;7.40E-07
820.5;1.37E-07
821;0.00E+00
821.5;0.00E+00
822;0.00E+00
822.5;1.84E-07
823;1.15E-06
823.5;1.99E-06
824;2.09E-06
824.5;1.76E-06
825;3.70E-07
825.5;2.59E-07
826;1.79E-06
826.5;2.70E-06
827;2.08E-06
827.5;1.70E-06
828;8.06E-07
828.5;4.37E-07
829;1.46E-06
829.5;2.44E-06
830;2.45E-06
830.5;1.71E-06
831;1.08E-06
831.5;6.32E-09
832;1.57E-09
832.5;3.13E-07
833;3.50E-07
833.5;8.82E-07
834;1.49E-06
834.5;1.35E-06
835;1.92E-06
835.5;2.61E-06
836;2.96E-06
836.5;3.04E-06
837;2.53E-06
837.5;1.19E-06
838;1.64E-07
838.5;0.00E+00
839;0.00E+00
839.5;0.00E+00
840;2.50E-07
840.5;1.65E-06
841;1.53E-06
841.5;6.08E-07
842;5.09E-08
842.5;0.00E+00
843;0.00E+00
843.5;0.00E+00
844;1.84E-07
844.5;1.22E-06
845;1.61E-06
845.5;1.55E-06
846;1.11E-06
846.5;1.21E-06
847;1.78E-06
847.5;1.72E-06
848;1.35E-06
848.5;7.03E-07
849;0.00E+00
849.5;0.00E+00
850;0.00E+00
850.5;0.00E+00
851;0.00E+00
851.5;0.00E+00
852;0.00E+00
852.5;0.00E+00
853;2.43E-07
853.5;1.71E-06
854;3.01E-06
854.5;3.70E-06
855;3.71E-06
855.5;3.05E-06
856;1.85E-06
856.5;4.38E-07
857;3.24E-09
857.5;0.00E+00
858;0.00E+00
858.5;0.00E+00
859;0.00E+00
859.5;0.00E+00
860;0.00E+00
860.5;0.00E+00
861;1.07E-07
861.5;1.29E-07
862;1.13E-07
862.5;6.94E-09
863;0.00E+00
863.5;0.00E+00
864;0.00E+00
864.5;0.00E+00
865;0.00E+00
865.5;0.00E+00
866;0.00E+00
866.5;1.03E-07
867;2.28E-07
867.5;3.17E-07
868;2.98E-07
868.5;2.13E-07
869;0.00E+00
869.5;0.00E+00
870;0.00E+00
870.5;0.00E+00
871;0.00E+00
871.5;0.00E+00
872;0.00E+00
872.5;0.00E+00
873;0.00E+00
873.5;0.00E+00
874;0.00E+00
874.5;1.17E-07
875;4.95E-07
875.5;5.43E-07
876;5.23E-07
876.5;5.70E-07
877;6.15E-07
877.5;4.25E-07
878;3.63E-07
878.5;9.80E-08
879;6.21E-08
879.5;0.00E+00
880;0.00E+00
880.5;0.00E+00
881;2.13E-07
881.5;4.55E-07
882;7.02E-07
882.5;9.25E-07
883;7.02E-07
883.5;5.35E-07
884;3.57E-07
884.5;1.45E-07
885;1.24E-08
885.5;0.00E+00
886;0.00E+00
886.5;0.00E+00
887;0.00E+00
887.5;0.00E+00
888;0.00E+00
888.5;0.00E+00
889;0.00E+00
889.5;3.55E-08
890;1.12E-07
890.5;5.04E-08
891;0.00E+00
891.5;0.00E+00
892;0.00E+00
892.5;0.00E+00
893;0.00E+00
893.5;0.00E+00
894;0.00E+00
894.5;0.00E+00
895;0.00E+00
895.5;0.00E+00
896;1.21E-07
896.5;1.85E-07
897;4.56E-08
897.5;0.00E+00
898;0.00E+00
898.5;0.00E+00
899;0.00E+00
899.5;0.00E+00
900;0.00E+00
900.5;0.00E+00
901;0.00E+00
901.5;0.00E+00
902;0.00E+00
902.5;0.00E+00
903;7.30E-08
903.5;1.62E-07
904;2.44E-07
904.5;2.64E-07
905;2.92E-07
905.5;3.24E-07
906;3.14E-07
